Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,MSFT,MSFT,MSFT,MSFT,MSFT,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,51.11562276391236,52.78713205227603,51.02007887673615,52.48308563232422,31868000,36.94446559968314,37.88900903303251,36.78704108753549,37.66718292236328,148158800,73.26000213623047,77.66799926757812,73.04650115966797,76.95649719238281,159662000,93.64297941413524,95.7124345886197,93.06917456384244,95.11981964111328,35329300,128.38491360201309,136.86493536205813,127.95692283391503,135.04351806640625,28146200
2019-01-03,52.283532471832274,53.05932246447255,50.87526450245742,51.02952575683594,41960000,34.3422107841645,34.7572381295252,33.86994079774523,33.915260314941406,365248800,76.00050354003906,76.9000015258789,74.85549926757812,75.01399993896484,139512000,94.16033074254226,94.24499411374003,91.43240759575788,91.62054443359375,42579100,134.05819890463425,136.5265614742296,130.50493776211317,131.12203979492188,22717900
2019-01-04,51.879965290383154,53.74305966556406,51.59632151623231,53.64701843261719,46022000,34.47340156263687,35.43225593708189,34.29928244503491,35.36308288574219,234428400,76.5,79.69999694824219,75.91549682617188,78.76950073242188,183652000,93.80289571345104,96.4273457908274,93.05977123906669,95.88175964355469,44060600,133.3813815117622,137.35267071952796,133.12260658504974,137.3029022216797,29002100
2019-01-07,53.7913247982574,53.87741148002804,52.879185626094,53.5400276184082,47446000,35.46802857200159,35.49903742871124,34.80016986131174,35.284366607666016,219111200,80.1155014038086,81.72799682617188,79.45950317382812,81.47550201416016,159864000,95.60897452141552,97.14225243176435,94.98814075267295,96.0040512084961,35656100,136.9147131326291,138.21856558335998,135.2724592432924,137.4024200439453,20089300
2019-01-08,54.04162487380255,54.40737651123098,53.16332435577261,54.010276794433594,35414000,35.67314533765117,36.21220429826707,35.42508548038979,35.95698547363281,164101200,83.2344970703125,83.83049774169922,80.83049774169922,82.8290023803711,177628000,96.92588368231493,97.80070026425463,95.67480059197456,96.70012664794922,31514400,139.23378900964045,142.4685435757686,138.88542475071125,141.8614044189453,26263800
2019-01-09,54.14065778009399,54.3222883445178,53.46289456461974,53.825164794921875,26998000,36.08578375398838,36.85859188920276,35.68984228254517,36.567596435546875,180396400,82.64900207519531,83.38999938964844,82.06999969482422,82.97100067138672,126976000,97.69722540904053,98.65669817399824,97.11401197045893,98.08289337158203,32280800,142.27942664268605,144.02121749221544,140.6073147169991,143.5534210205078,22205900
2019-01-10,53.4912628409432,53.73360397706268,52.98070330990318,53.684837341308594,26598000,36.37440495188372,36.725030654714004,35.98323116880231,36.68448257446289,143122800,82.05049896240234,83.1624984741211,81.08100128173828,82.81099700927734,130154000,97.0952255478401,97.59377573585917,96.30506498108868,97.45267486572266,30067600,142.40883345315282,143.88188672668684,140.17933551404312,143.52357482910156,16125000
2019-01-11,53.24046078386582,53.41313530260546,52.57016534871438,52.970252990722656,30864000,36.46503260152564,36.6606176122784,36.13825688574314,36.324302673339844,108092800,82.02749633789062,83.0145034790039,81.81099700927734,82.02799987792969,93724000,97.06698452005102,97.30215019071561,95.60895449125594,96.70012664794922,28314200,142.47849770856254,144.67813759639466,141.90123177051925,143.12545776367188,12908000
2019-01-14,52.416400414050074,52.67068548710364,52.1780418524101,52.32533645629883,28490000,35.98083924089946,36.08101747084215,35.592049441248335,35.77809524536133,129756800,80.75,82.41000366210938,79.75749969482422,80.8604965209961,120118000,95.85352806958649,96.76597201309896,95.2515045313964,95.99462890625,28437100,141.33388033662743,145.8824498316883,140.60730900703408,144.70797729492188,20520300
2019-01-15,52.64879016437061,54.15459149596521,52.47113837902906,54.06700897216797,37518000,35.8425058585296,36.58668926231533,35.79003101446399,36.5103645324707,114843600,81.5999984741211,83.75800323486328,81.30049896240234,83.72799682617188,119970000,96.42733495962857,98.81661906825462,95.83471286817226,98.77899169921875,31587600,145.3250706662286,149.9731621630156,145.3051754197818,148.25128173828125,24069000
2019-01-16,54.24067855123359,54.855738019122704,54.141653236576936,54.21629333496094,38280000,36.51274559172934,37.18060421377019,36.49366350086684,36.95639419555664,122278800,84.21099853515625,85.25,83.79399871826172,84.18900299072266,127338000,99.01416973322331,99.95483254648335,98.73196801857021,99.12704467773438,29853900,148.30105838333154,148.94800323428012,146.31044014999821,146.847900390625,18025700
2019-01-17,54.14065607414015,54.773130270646625,53.90527781326923,54.69450759887695,24896000,36.77988189121995,37.60516490547045,36.555671907714014,37.17582702636719,119284800,84.0,85.00849914550781,83.875,84.66100311279297,84178000,98.76959804264193,100.30287588579148,98.54384097087421,99.8231430053711,28393000,146.26065114685645,148.30103758734577,145.81276514460507,147.6043243408203,15787900
2019-01-18,55.16575450103173,55.634016697344215,54.70246957662322,55.1015625,44892000,37.56701565558301,37.657654699277074,37.20446312034432,37.404823303222656,135004000,85.5999984741211,85.80999755859375,84.5770034790039,84.80999755859375,120410000,101.08362092737381,101.49751484486087,99.62559793232268,101.31878662109375,37427600,149.04754866281684,151.7149699567033,147.85318069261078,149.336181640625,31029600
2019-01-22,54.53924821537352,54.68704395683312,53.289721383945334,53.67488098144531,39632000,37.30701542527696,37.38334014007424,36.403020131262494,36.565216064453125,121576000,84.05000305175781,84.09349822998047,80.51000213623047,81.6084976196289,128336000,100.4157495883715,100.74498011889754,98.6378975468435,99.40924072265625,32371300,148.5001206707254,150.81919278970582,145.6833939816774,146.87777709960938,22378700
